,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,count_x,count_y,total_counts
146,146,359,E 47 St & Park Ave,40.75510267,-73.97498696,115720.0,115590,231310.0
147,147,360,William St & Pine St,40.70717936,-74.00887308,41193.0,40733,81926.0
148,148,361,Allen St & Hester St,40.71605866,-73.99190759,76349.0,75922,152271.0
149,149,362,Broadway & W 37 St,40.75172632,-73.98753523,49648.0,45713,95361.0
150,150,363,West Thames St,40.70834698,-74.01713445,74001.0,73193,147194.0
151,151,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,19693.0,18425,38118.0
152,152,365,Fulton St & Grand Ave,40.68223166,-73.9614583,16090.0,15356,31446.0
153,153,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,34851.0,33800,68651.0
154,154,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,27806.0,27835,55641.0
155,155,368,Carmine St & 6 Ave,40.73038599,-74.00214988,140189.0,143717,283906.0
156,156,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,55215.0,55409,110624.0
157,157,372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,9358.0,9360,18718.0
158,158,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,10712.0,11101,21813.0
159,159,375,Mercer St & Bleecker St S,40.72679454,-73.99695094,36753.0,37775,74528.0
160,160,376,John St & William St,40.70862144,-74.00722156,40427.0,40200,80627.0
161,161,377,6 Ave & Canal St,40.72243797,-74.00566443,66136.0,70744,136880.0
162,162,379,W 31 St & 7 Ave,40.749156,-73.9916,130168.0,128642,258810.0
163,163,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,101590.0,102318,203908.0
164,164,382,University Pl & E 14 St,40.73492695,-73.99200509,126875.0,131059,257934.0
165,165,383,Greenwich Ave & Charles St,40.735238,-74.000271,79515.0,79356,158871.0
166,166,384,Fulton St & Washington Ave,40.683048,-73.964915,14389.0,14565,28954.0
167,167,385,E 55 St & 2 Ave,40.75797322,-73.96603308,43952.0,43770,87722.0
168,168,386,Centre St & Worth St,40.71494807,-74.00234482,47177.0,47104,94281.0
169,169,387,Centre St & Chambers St,40.71273266,-74.0046073,118548.0,117405,235953.0
170,170,388,W 26 St & 10 Ave,40.74971775,-74.00295035,80003.0,81421,161424.0
171,171,389,Broadway & Berry St,40.71044554,-73.96525063,30907.0,30219,61126.0
172,172,390,Duffield St & Willoughby St,40.69221589,-73.9842844,24785.0,24723,49508.0
173,173,391,Clark St & Henry St,40.69760127,-73.99344559,42625.0,36148,78773.0
174,174,392,Jay St & Tech Pl,40.695065,-73.987167,32848.0,34308,67156.0
175,175,393,E 5 St & Avenue C,40.72299208,-73.97995466,40697.0,40543,81240.0
176,176,394,E 9 St & Avenue C,40.72521311,-73.97768752,66273.0,64888,131161.0
177,177,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,14096.0,14159,28255.0
178,178,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,15974.0,15772,31746.0
179,179,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,14002.0,12895,26897.0
180,180,398,Atlantic Ave & Furman St,40.69165183,-73.99997859999998,32901.0,35698,68599.0
181,181,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,21919.0,16649,38568.0
182,182,400,Pitt St & Stanton St,40.71926081,-73.98178024,16240.0,16157,32397.0
183,183,401,Allen St & Rivington St,40.72019576,-73.98997825,86268.0,86123,172391.0
184,184,402,Broadway & E 22 St,40.74034320000001,-73.98955109,176745.0,185584,362329.0
185,185,403,E 2 St & 2 Ave,40.72502876,-73.99069656,62043.0,63315,125358.0
186,186,404,9 Ave & W 14 St,40.7405826,-74.00550867,27594.0,28925,56519.0
187,187,405,Washington St & Gansevoort St,40.739323,-74.008119,94948.0,96172,191120.0
188,188,406,Hicks St & Montague St,40.69512845,-73.99595065,33209.0,31724,64933.0
189,189,407,Henry St & Poplar St,40.700469,-73.991454,14127.0,12381,26508.0
190,190,408,Market St & Cherry St,40.71076228,-73.99400398,28752.0,29289,58041.0
191,191,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,9994.0,9506,19500.0
