,short_id,entries,exits,longitude,latitude
288,298,2027289,1714661,40.752897999999995,-73.905973
289,299,1513785,1250472,40.7061,-73.95034799999999
290,300,5574958,5512445,40.723290999999996,-73.989873
291,301,3912404,1951396,40.699756,-73.98689
292,302,4506755,4507489,40.763625,-73.977449
293,303,3701901,2357766,40.7541,-73.94258
294,304,34272070,29277980,40.707840000000004,-74.01369100000001
295,305,3658229618,1849791746,40.710454,-74.011324
296,306,1216213,140537,40.884821,-73.900759
297,307,1046905,915233,40.813208,-73.929877
298,308,197729787,192383474,40.844406,-73.914621
299,309,352640645,268414810,40.848634999999994,-73.912497
300,310,3822206,2419451,40.75176,-73.855183
301,311,1329179,1234399,40.720315,-73.994014
302,312,839853,681852,40.576152,-73.975925
303,313,604667,447309,40.682558,-73.905501
304,314,1497255,1049460,40.796105,-73.961399
305,315,1134940,635601,40.829934,-73.938632
306,316,733752,792010,40.700374,-73.950284
307,317,1608789,710763,40.688123,-73.96674200000001
308,318,1778191,1377273,40.687129999999996,-73.975346
309,319,6279807,6125853,40.764763,-73.966291
310,320,2106352,1830639,40.722819,-74.00626700000001
311,321,105283354,2753099,40.741096,-73.997877
312,322,3635951,3949234,40.722396999999994,-73.997211
313,323,2672321,2644373,40.79911,-73.95180699999999
314,324,3361375,1619621,40.802098,-73.949625
315,325,586842,645310,40.826508000000004,-73.886425
316,326,799488,752326,40.836459999999995,-73.846471
317,327,768608850,173148597,40.744103,-73.912497
318,328,686234104,490668958,40.754622,-73.845625
319,329,714182,699445,40.854137,-73.860977
320,330,1701150,1783488,40.733243,-73.987169
321,331,900870,722061,40.830551,-73.941486
322,332,1753145,1332240,40.817902000000004,-73.947644
323,333,2288658,1643829,40.805071999999996,-73.954833
324,334,2387572,1230904,40.800637,-73.958201
325,335,732036,554380,40.590866999999996,-73.797011
326,336,633164,490533,40.592334,-73.788493
327,337,225312,258623,40.593214,-73.776433
328,338,299285,332544,40.595381,-73.768194
329,339,1885739,999573,40.75202,-73.92874
330,340,7228419,803362,40.749663,-73.898485
331,341,1062786,176744,40.718477,-73.837223
332,342,1415478,1628910,40.702566,-73.816859
333,343,1134859966,702154726,40.719322999999996,-74.006953
334,344,987144,73318,40.820402,-73.93631500000001
335,345,1145702,1121929,40.823877,-73.93644300000001
336,346,1470230,1689517,40.747029,-73.94537
337,347,1560421,1637056,40.746325,-73.896403
338,348,494569,223099,40.675496,-73.902819
339,349,1057645,830561,40.669376,-73.902047
340,350,865644,739641,40.663801,-73.900444
341,352,1116040,888402,40.706994,-73.95348100000001
342,353,1750022,1329899,40.703855,-73.947387
343,354,452124,191108,40.681745,-73.837631
344,355,4872756,267424,40.684364,-73.832181
345,356,2277652,1801946,40.685975,-73.824713
346,357,271226,574844,40.668234000000005,-73.834058
347,358,641021453,964818933,40.600138,-73.76151999999999
348,359,5141867,4106111,40.747257,-73.945112
349,360,538853,590698,40.743973,-73.949876
350,361,270043746,101479808,40.857188,-73.86760699999999
351,362,2624466361,1120359794,40.865481,-73.867393
352,363,1004564,434587,40.871387,-73.867135
353,364,1905549452,1543363220,40.877796000000004,-73.86625500000001
354,365,903417324,318103699,40.883767,-73.862736
355,366,1197461,487319,40.887887,-73.860505
356,367,1445837,458892,40.893386,-73.857265
357,368,1707252,1747674,40.646343,-73.994551
358,369,1207492,739580,40.640871999999995,-73.994229
359,370,1731005,603504,40.619588,-73.99884200000001
360,371,1925583,617060,40.613513,-74.00064499999999
361,372,1946185,505349,40.607958,-74.00178199999999
362,373,1582693,446058,40.604797999999995,-73.998456
363,374,2458528,2209498,40.601898,-73.993821
364,375,1275352,1346531,40.658747999999996,-73.899472
365,376,1024165,1069424,40.650625,-73.899558
366,377,2778119,2879970,40.700244,-73.94165799999999
367,378,3865723,2373822,40.697266,-73.935692
368,379,1793706,601446,40.693329,-73.928826
369,380,2264257,936623,40.689652,-73.92228100000001
370,381,2119451,1028889,40.686170000000004,-73.916337
371,382,1786248,1565159,40.677107,-73.865376
372,383,1312101,734580,40.679369,-73.85896
373,384,862311,351485,40.679857,-73.85149200000001
374,385,2341677,711966,40.680429,-73.843853
375,386,1678050,1767433,40.837382,-73.887659
376,387,2137651,337031016,40.840097,-73.879774
377,388,2268098,2082318,40.841882,-73.873551
378,389,771962,332769,40.848797,-73.868465
379,390,7713817,13656202,40.635011,-74.011717
380,391,1550613,581552,40.631428,-74.005387
381,392,1178489,750797,40.620728,-73.990388
382,393,4334274,5580274,40.617373,-73.985088
383,394,101703529,1011947,40.612006,-73.98200899999999
384,395,1384970,1350912,40.603967,-73.98066800000001
385,396,1029791,793288,40.597482,-73.979359
386,397,4846540,5248831,40.592676000000004,-73.978243
387,398,1504693,877357,40.625419,-73.99663199999999
388,399,1527045,363587,40.597873,-73.98695500000001
389,400,831877,175599,40.588879,-73.98362900000001
390,401,1464911,1413286,40.697672999999995,-73.927131
391,402,1076186,1075551,40.702798,-73.907776
392,403,1310793,998458,40.704423999999996,-73.903077
393,404,1794909,1915210,40.706181,-73.89591
394,405,3310507253,284409072,40.816505,-73.907797
395,406,2165346,814413,40.819396000000005,-73.90146700000001
396,407,973279,1041380,40.822171999999995,-73.89674699999999
397,408,943271815,803024854,40.82417,-73.89322800000001
398,409,1367862,1213154,40.829966,-73.891876
399,411,520185,577738,40.67491,-73.95779399999999
400,412,437906,673873,40.670499,-73.958759
401,413,8404671,9909375,40.698665999999996,-73.919685
402,414,929176,133176,40.660476,-73.830301
403,415,95921,25078,40.608693,-73.816068
404,416,355588,291424,40.588032,-73.813684
405,417,167929,166801,40.585514,-73.820143
406,418,91139,99846,40.583542,-73.82643
407,419,240388,276669,40.580453999999996,-73.837459
408,420,1175893,660762,40.63615,-73.978179
409,421,587609,195864,40.625305,-73.975732
410,422,367259,123684,40.620907,-73.975453
411,423,1175288920,331598,40.615173999999996,-73.974166
412,424,744388,305401,40.609147,-73.97298599999999
413,425,1314228338,685381779,40.596065,-73.973329
414,426,435348,166726,40.580991999999995,-73.974531
415,427,614092,594299,40.843635,-73.836687
416,428,1151671,1103676,40.846817,-73.832545
417,429,2201592,1246575,40.852465,-73.828125
418,430,905701,675834,40.858973,-73.855355
419,431,1238356,1397342,40.888244,-73.83085
420,432,1085208,526641,40.682867,-73.91048
421,433,653885,697083,40.677107,-73.898871
422,434,795484,881307,40.678018,-73.891726
423,435,888175,965655,40.679938,-73.884687
424,436,951519,1030188,40.681598,-73.880074
425,437,1396219,1588359,40.683209000000005,-73.873765
426,438,1840575,961124,40.678815,-73.920801
427,439,2756978,1110476,40.67836,-73.911939
428,440,847383,434965,40.674552,-73.89655400000001
429,441,934304,930324,40.672786,-73.890438
430,442,995973,545489,40.674161,-73.88076099999999
431,443,136234519,1237757,40.839301,-73.91335500000001
432,444,1010327,429458,40.898382,-73.854389
433,445,2442130972,1483040658,40.810512,-73.926165
434,446,1832669,1728450,40.808044,-73.919234
435,447,2196298045,1086549156,40.805737,-73.91447099999999
436,448,319706,364043,40.808741999999995,-73.90769
437,449,1473802,1433353,40.812104,-73.904085
438,450,957991,869067,40.816083,-73.89605999999999
439,451,1898662,412355,40.656648,-73.950198
440,452,11785736,11268400,40.778575,-73.981912
441,453,3210285,4145711,40.742981,-73.992727
442,455,233773,652037,40.66043,-73.99794399999999
443,456,902939,1236997,40.690545,-73.985065
444,459,8946,2060,40.852416999999996,-73.828082
445,460,4696409,3041510,40.708377,-73.957751
446,461,2152699021,1749539068,40.725297,-73.996204
447,462,5186473,4717269,40.718697,-74.000977
448,463,116099958,27598418,40.718697,-74.000977
449,464,603036,59181,40.668221,-73.834026
450,468,1191958,18392,40.761268,-73.964016
451,469,1140022,25268,40.7574,-73.954006
452,535,650000,1353022,40.660476,-73.830301
453,536,4192848,3033911,40.643941999999996,-73.78235600000001
454,540,16741108,18308331,40.711638,-74.010708
455,541,12986173,9181930,40.748931,-73.988113
456,542,4662706,29461350,40.742933,-73.992909
457,543,5300037,7157958,40.716737,-74.033024
458,544,2967336,2801451,40.738879,-74.15553299999999
459,545,4741616,3154914,40.737434,-73.996785
460,546,16612397,6925624,,
461,547,1804915,1979541,,
462,548,1667341,1801138,,
463,549,9811517,14716447,,
464,550,9662882,12812052,,
465,551,7057539,6922451,40.719876,-74.04261600000001
466,552,9355252,9961075,40.732102000000005,-74.06391500000001
467,570,9475739,8354208,,
468,571,8320700,5659953,,
469,572,6158451,4487646,,
