,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
577,3418,5665.0,4616,10281.0,R059-R619,R059-R619,R411-B009,0.0003010299999814947,0.0003010299999814947,0.013431430000018452
578,3419,3213.0,3289,6502.0,R153-N120,R153-N120A,R248-H008,0.05095524000001461,0.05095524000001461,0.05180116000001078
579,3420,4374.0,4448,8822.0,R220-N535,R220-N534,R198-N117,0.010670750000002727,0.010670750000002727,0.034197649999988755
580,3422,3193.0,3250,6443.0,R129-N531,R129-N533,R189-R125,0.011767039999995177,0.011767039999995177,0.04794975999999451
581,3423,8951.0,8962,17913.0,R241-N541,R241-N542,R204-N545,0.0007438199999896256,0.0007438199999896256,0.017112819999994144
582,3424,2122.0,2206,4328.0,R180-R252,R180-R252,R206-R305,0.002873999999998489,0.002873999999998489,0.016186999999995066
583,3425,3594.0,3619,7213.0,R180-R252,R251-N039,R167-R164,0.005136660000005122,0.023417659999999785,0.032648659999992447
584,3426,,1,,R552-PTH03,R551-PTH04,R543-PTH05,0.027137299999999698,0.03621029999999337,0.042663300000008064
585,3427,11808.0,11823,23631.0,R461-N519A,R461-N519,R086-A042,0.0011858999999958542,0.0011858999999958542,0.001700899999988792
586,3429,11515.0,11560,23075.0,R057-B001,R057-B002,R129-N531,0.001495669999989957,0.001495669999989957,0.014059330000002035
587,3430,3933.0,3855,7788.0,R249-H013,R377-J007,R303-N603,0.006356009999983314,0.019413810000038723,0.03536418999998148
588,3431,806.0,797,1603.0,R176-R232A,R302-N600,R057-B001,0.004345999999998185,0.017537000000004355,0.0629289999999969
589,3432,59.0,322,381.0,R196-B012,R209-R636,R065-R629,0.01611600000002511,0.02654800000001245,0.06860100000002234
590,3434,2981.0,2862,5843.0,R167-R165,R167-R166,R251-N039,0.0026035700000051065,0.0026035700000051065,0.01390123000000898
591,3435,22894.0,23069,45963.0,R463-A046,R462-A044,R462-A043,0.005142000000006419,0.005142000000006419,0.005142000000006419
592,3437,3990.0,3816,7806.0,R168-R168A,R168-R168,R168-R169,0.005385880000005727,0.005385880000005727,0.005385880000005727
593,3440,9109.0,8836,17945.0,R108-R601A,R108-C001,R108-R602,0.000670550000002379,0.000670550000002379,0.000670550000002379
594,3441,1166.0,1171,2337.0,R013-N073,R175-N078,R175-H001,0.009893999999995629,0.013104999999995925,0.013104999999995925
595,3443,16358.0,17613,33971.0,R116-R155,R116-R154,R015-N303,0.004433159999997827,0.004433159999997827,0.005774840000000836
596,3449,1738.0,1741,3479.0,R134-R507,R139-N090,R139-N089,0.02179742999999945,0.05783854999998539,0.05783854999998539
597,3452,3306.0,3300,6606.0,R134-R507,R286-N416,R462-A044,0.02325937000000522,0.024779810000005398,0.05258181000001372
598,3453,4729.0,4760,9489.0,R286-N415,R286-N416,R257-N528,0.018841620000003445,0.018841620000003445,0.0413433799999936
599,3454,3001.0,2935,5936.0,R353-J005,R014-R206,R014-R208,0.0068410300000039115,0.061354029999989734,0.061354029999989734
600,3456,1195.0,1175,2370.0,R249-H013,R235-H009,R134-R507,0.005899179999985904,0.009261819999998977,0.026675820000008343
601,3457,5349.0,5355,10704.0,R050-R244A,R302-N600,R049-R242A,0.0046391899999918,0.005952809999996589,0.006143189999995968
602,3458,3951.0,3961,7912.0,R302-N600,R113-N301,R113-N300,0.001432290000010994,0.003456709999987595,0.003456709999987595
603,3459,12649.0,12823,25472.0,R017-N306,R016-N305A,R017-N305,0.00030603000000439806,0.00030603000000439806,0.00030603000000439806
604,3461,11621.0,12265,23886.0,R030-R116,R305-R107D,R305-R107,0.002472810000000436,0.00449819000000673,0.00449819000000673
605,3462,588.0,588,1176.0,R047-R240,R047-R237B,R049-R242,0.006222980000003986,0.006222980000003986,0.006406980000001283
606,3463,11818.0,11872,23690.0,R170-A037,R170-A036,R170-R221,0.0032451300000104766,0.0032451300000104766,0.0032451300000104766
607,3466,1737.0,1754,3491.0,R164-R160,R164-R160A,R164-R159,0.017080110000009086,0.017080110000009086,0.017080110000009086
